,daysBetweenDates,isBasicEconomy,1depTimeOnly,numberOfStopovers,waitingTime,numericalStartingAirport,numericalDestinationAirport,numerical1cabin,totalFare
291,26,0,12,1,1.0,4,6,1,192.6
292,54,0,6,1,1.0,9,14,1,226.6
293,31,0,9,0,0.0,6,7,1,218.6
294,34,0,13,1,2.0,14,2,1,418.6
295,18,0,9,0,0.0,0,11,1,218.6
296,45,1,16,0,0.0,13,1,1,73.6
297,33,1,17,1,2.0,4,9,1,157.6
298,47,0,18,1,1.0,13,4,1,127.6
299,40,0,16,1,3.0,5,0,1,481.6
300,45,0,14,2,7.0,4,12,1,552.7
301,43,0,10,1,1.0,9,11,1,298.6
302,7,0,18,0,0.0,7,3,1,628.6
303,57,0,8,0,0.0,13,1,1,158.6
304,44,0,11,0,0.0,3,4,1,302.6
305,14,0,7,1,5.0,13,15,1,637.2
306,50,0,15,1,2.0,2,13,1,148.1
307,1,0,20,2,9.0,2,6,1,381.2
308,9,1,15,0,0.0,10,11,1,181.6
309,12,0,9,0,0.0,13,6,1,258.6
310,8,0,17,1,1.0,12,3,1,268.6
311,15,0,16,1,2.0,13,11,1,192.6
312,9,0,7,1,3.0,2,4,1,331.1
313,31,0,11,1,4.0,7,1,1,227.6
314,19,0,5,1,0.0,4,6,1,416.1
315,35,1,17,0,0.0,2,6,1,140.1
316,50,0,18,0,0.0,0,6,1,199.6
317,16,0,10,0,0.0,9,5,1,633.6
318,7,1,6,1,3.0,3,11,1,268.6
319,47,0,14,0,0.0,6,0,1,143.6
320,19,0,8,2,5.0,4,12,1,497.1
321,33,1,9,0,0.0,4,9,1,172.6
322,48,0,6,0,0.0,1,9,1,519.6
323,54,0,13,1,1.0,9,5,1,671.6
324,35,1,7,0,0.0,11,0,1,88.6
326,21,0,7,1,3.0,14,11,1,211.6
327,33,0,19,1,1.0,5,0,1,227.61
328,16,0,7,1,1.0,15,5,1,397.6
329,6,0,6,1,2.0,10,11,1,297.6
330,34,1,12,1,2.0,4,9,1,228.6
331,12,1,13,0,0.0,6,1,1,128.6
332,37,0,6,1,1.0,10,15,1,742.6
333,50,0,8,1,3.0,9,10,1,298.6
334,19,0,17,0,0.0,0,14,1,140.99
335,27,0,10,0,0.0,15,0,1,368.6
336,8,1,22,1,2.0,15,8,1,201.1
337,24,1,13,1,4.0,14,10,1,203.6
338,12,0,6,1,3.0,7,13,1,192.6
339,43,0,14,1,0.0,2,4,1,372.11
340,59,0,13,0,0.0,5,4,1,248.6
341,52,0,16,1,1.0,11,5,1,232.6
342,44,0,21,0,0.0,1,5,1,268.6
343,31,1,13,0,0.0,4,9,1,213.6
344,33,0,6,1,3.0,4,1,1,417.6
345,1,0,13,1,0.0,3,6,1,367.61
346,36,0,10,1,2.0,2,13,1,280.1
347,22,0,11,1,5.0,14,8,1,137.21
348,22,0,9,0,0.0,4,0,1,508.6
349,31,1,22,1,2.0,15,10,1,167.6
350,28,1,6,1,1.0,1,6,1,161.6
351,7,0,6,2,7.0,13,2,1,264.11
352,9,0,17,0,0.0,7,0,1,258.6
353,26,0,6,2,7.0,14,12,1,660.69
354,44,0,19,0,0.0,4,14,1,278.6
355,10,0,9,1,2.0,15,13,1,405.6
356,10,0,9,1,3.0,11,9,1,253.6
357,46,0,15,0,0.0,9,12,1,24.59
358,50,0,8,0,0.0,13,10,1,138.6
359,21,1,8,1,0.0,8,5,1,142.6
360,2,0,13,1,2.0,2,6,1,262.11
361,40,0,14,1,3.0,2,14,1,246.1
362,46,1,13,1,4.0,1,15,1,161.1
363,42,1,23,1,4.0,9,1,1,207.1
364,56,0,8,1,1.0,9,13,1,546.6
365,24,0,17,2,3.0,7,12,1,843.1
366,36,0,14,1,3.0,11,2,1,161.6
367,38,0,9,0,0.0,9,13,1,470.6
368,24,0,16,0,0.0,13,10,1,168.61
369,42,1,16,1,2.0,1,11,1,147.6
370,37,0,6,1,1.0,4,11,1,167.6
371,58,0,8,2,4.0,12,10,1,697.09
372,37,0,6,1,1.0,9,5,1,574.61
373,23,1,18,0,0.0,6,13,1,106.6
